,,,,,,
,Line ID,Script,Length,,,
,186,Svapanah svavasho Vyapi Naikatma Naika-Karma-Krut,49,,,
,187,Vatsaro Vatsalo Vatsi Ratna-Garbho Dhaneshvarah,47,,,
,188,Dharmagub Dharmakrud Dharmi Sad-Asatksharam Aksharam,52,,,
,189,Avigyata Sahashramsur Vidhata Kruta-Lakshanah,45,,,
,190,Gabhasti-Nemih Sattvasthah Simho Bhuta-Maheshvarah,50,,,
,191,Adidevo Mahadevo Devesho Devabhrud-Guruh,40,,,
,192,Uttaro Gopatir Gopta Gyanagamyah Puratanah,42,,,
,193,Sharira-Bhuta-Bhrud Bhokta Kapindro Bhuridakshinah,50,,,
,194,Somapo Amrutapah Somah Purujit Purushottamah,44,,,
,195,Vinayo Jayah Satyasandho Dasharhah Satvatampatih,48,,,
,196,Jivo Vinayita-Sakshi Mukundo Amita Vikramah,43,,,
,197,Ambhonidhir Anantatma Mahodadhishayonatakah,43,,,
,198,Ajo Maharhah Svabhavyo Jitamitrah Pramodanah,44,,,
,199,Anando Nandano Nandah Satya-Dharma Trivikramah,46,,,
,200,Maharshih Kapilacharyah Krutagyo Medini-Patih,45,,,
,201,Tripadas Tridashadhyaksho Mahashrungah Krutantakrut,51,,,
,202,Mahavaraho Goivindah Sushenah Kanakangadi,41,,,
,203,Guhyo Gabhiro Gahano Guptas Chakra-Gadadharah,45,,,
,204,Vedhah Svango Ajitah Krishno Drudhah Sankarshano Acyutah,56,,,
,205,Varuno Vaaruno Vrukshah Pushkaraksho Mahamanah,46,,,
,206,Bhagavan Bhagahanandi Vanamali Halayudhah,41,,,
,207,Adityo Jyotir-Adityah Sahishnur Gatisattamah,44,,,
,208,Sudhanva-Khandapar- ashur-Daruno Dravinapradah,46,,,
,209,Divah-Spruk Sarva-Drug Vyaso Vachaspatir Ayonijah,49,,,
,210,Trisama Samagah Sama Nirvanam Bheshajam Bhishak,47,,,
,211,Sanyasakrut Chamah Santo Nishtha Shantih Parayanam,50,,,
,212,Shubhangah Shantidah Srashta Kumudah Kuvalesayah,48,,,
,213,Gohito Gopatir Gopta Vrushabhaksho Vrushapriyah,47,,,
,214,Anivarti Nivrutatma Samkshepta Kshema-Kruchivah,47,,,
,215,Shrivasta-Vaks- hah Shrivasah Shripatih Shrimatam-Varah,55,,,
,216,Shridah Shrishah Shrinivasah Shrinidhih Shri-Vibhavanah,55,,,
,217,Shridharah Shrikarah Shreyah Shriman Loka-Trayashrayah,54,,,
,218,Svakshah Svangah Shatanando Nandir Jyotir-Ganeshvarah,53,,,
,219,Vijitatma Vidheyatma Satkirtischinna-Samsayah,45,,,
,220,Udirna- h Sarvata-Chakshur-Anisah Sasvata-Sthirah,49,,,
,221,Bhushayo Bhushano Bhutir Vishokah Shoka-Nashanah,48,,,
,222,Archishman Architah Kumbho Vishuddhatma Vishodhanah,51,,,
,223,Aniruddho Pratirathah Pradyumno Amita-Vikramah,46,,,
,224,Kalaneminiha Virah Saurih Sura-Janeshvarah,42,,,
,225,Trilokatma Trilokeshah Keshavah Keshiha Harih,45,,,
,226,Kamadevah Kamapalah Kami Kantah Krutagamah,42,,,
,227,Anirdeshya-Vapur Vishnur Viro Ananto Dhananjayah,48,,,
,228,Brahmanyo Brahmakrud-Brahma Brahma Brahma-Vivardhanah,53,,,
,229,Brahmavid Brahmano Brahmi Brahmgno Brahmana-Priyah,50,,,
,230,Mahakramo Mahakarma Mahateja Mahoragah,38,,,
,231,Mahakratur Mahayajva Mahayagyo Mahahavih,40,,,
,232,Stavyah Stavapriyah Stotram Stutih Stota Ranapriyah,51,,,
,233,Purnah Purayita Punyah Punyakirtir Anamayah,43,,,
,234,Manojavas Tirthakaro Vasureta Vasupradah,40,,,
,235,Vasuprado Vasudevo Vasur Vasumana Havih,39,,,
,236,Sadgatih Sat-Krutih Satta Sad-Bhutih Sat-Parayanah,50,,,
,237,Suraseno Yadushreshthah Sannivasah Suyamunah,44,,,
,238,Bhutavaso Vasudevah Sarvasu-Nilayo Analah,41,,,
,239,Darpaha Darpado Drupto Durdharo-Atha-Parajitah,46,,,
,240,Vishvam- urtir Mahamurtir Diptamurtir Amurtiman,47,,,
,241,Anekamurtir Avyaktah Shatamurtih Shatananah,43,,,
,242,Eko Naikah Savah Kah Kim Yat Tat Padam-Anuttamam,48,,,
,243,Lokabandhur Lokanatho Madhavo Bhakta-Vastalah,45,,,
,244,Suvarna Varno Hemango Varangas Chandanangadi,44,,,
,245,Viraha Vishamah Sunyo Ghrutasir Achalaschalah,45,,,
,246,Amani Manado Manyo Lokasvami Triloka-Dhruk,42,,,
,247,Sumedha Medhajo Dhanyah Satyamedha Dharadharah,46,,,
,248,Tejovrusho Dyuti-Dharah Sarva-Shastra-Bhrutam-Varah,51,,,
,249,Pra- grahonigraho Vyagro Naikashrungo Gadagrajah,48,,,
,250,Chaturmurtis Chaturbahus Chaturvyuhas Chaturgatih,49,,,
,251,Chaturatma Chaturbhavas Chaturvedavid Ekapat,44,,,
,252,Samavarto Anivrutatma Durjayo Duratikramah,42,,,
,253,Durlabho Durgamo Durgo Duravaso Durariha,40,,,
,254,Shubhango Lokasarangah Sutantus Tantu-Vardhanah,47,,,
,255,Indrakarma Mahakarma Krutakarma Krutagamah,42,,,
,256,Udbhavah Sundarah Sundo Ratnanabhah Sulochanah,46,,,
,257,Arko Vajasanah Shrungi Jayantah Sarva-Vij-Jayi,46,,,
,258,Suvarna-Bindur-A- kshobhyah Sarva-Vagishvareshvarah,51,,,
,259,Mahahra- do Maha-Garto Maha-Bhuto Maha-Nidhih,45,,,
,260,Kumudah Kundarah Kundah Parjanyah Pavano Anilah,47,,,
,261,Amrutasho Amrutavapuh Sarvagyah Sarvato-Mukha,45,,,
,262,Sulabhah Suvratah Siddhah Shatru-Jit Shatru-Tapanah,51,,,
,263,Nyagrodho Adumbaro-Svatthas Chanurandhra-Nishudhanah,52,,,
,264,Sahasr- archi Sapta-Jihvah Saptaidhah Sapta-Vahanah,51,,,
,265,Amurtir Anagho Achintyo Bhayakrud Bhaya-Nashanah,48,,,
,266,Anur Bruhat Krusah Sthulo Gunabrun Nirguno Mahan,48,,,
,267,Adhrutah Svadhrutah Svasyah Pragvamsho Vamshavardhanah,54,,,
,268,Bhara-Bhrut Kathito Yogi Yogishah Sarva-Kamadah,47,,,
,269,Ashramah Shramanah Kshamah Suparno Vayu-Vahanah,47,,,
,270,Dhanurdharo Dhanurvedo Dando Damayita Damah,43,,,
,271,Aparajitah Sarvasaho Niyanta Niyamo Yamah,41,,,
,272,Satvavan Satvikah Satyah Satya-Dharma-Parayanah,47,,,
,273,Abhipray- ah Priyarho-Rhah Priyakrut Pritivardhanah,51,,,
,274,Vihayasagatir Jyotih Suruchir Huta-Bhug Vibhuh,46,,,
,275,Ravir Virochanah Suryah Savita Ravilochanah,43,,,
,276,Ananto Huta-Bhug Bhokta Sukhado Naikajo-Grajah,46,,,
,277,Anirvinnah Sadamarshi Lokadhishthana-Madbhutah,46,,,
,278,Sanat Sanatana-Tamah Kapilah Kapir Avyayah,42,,,
,279,Svastidah Svastikrut Svasti Svastibhuk Svasti-Dakshinah,55,,,
,280,Araudrah Kundali Chakri Vikramyurjita-Shasanah,46,,,
,281,Shabdati- gah Shabdasahah Sisirah Sarvari-Karah,47,,,
,282,Akrurah Peshalo Daksho Dakshinah Kshiminam Varah,48,,,
,283,Vidvattamo Vitabhayah Punya-Shravana-Kirtanah,45,,,
,284,Uttaran- o Dushkrutiha Punyo Duh-Svapna-Nasanah,47,,,
,285,Viraha Rakshanah Santo Jivanah Paryavasthitah,45,,,
,286,Ananta-Rupo Ananta-Shri Jitamanyur Bhayapahah,45,,,
,287,Chaturashro Gabhiratma Vidisho Vyadisho Dishah,46,,,
,288,Anadi Bhurbhuvo Lakshmih Suviro Ruchirangadah,45,,,
,289,Janano Janajanmadir Bhimo Bhima-Parakramah,42,,,
,290,Adharanilayo Dhata Pushpahasah Prajagarah,41,,,
,291,Urdhvagah Sat-Pathacharah Pranadah Pranavah Panah,49,,,
,292,Pramanam Prananilayah Pranabhrut Pranajivanah,45,,,
,293,Tatvam Tatvavidekatma Janma-Mrutyu-Jaratigah,44,,,
,294,Bhurbhuv- ah Svastarus-Tarah Savita Prapitamahah,48,,,
,295,Yagyo Yagya-Patir-Yajva Yagyango Yagya-Vahanah,46,,,
,296,Yagyabhrud Yagyakrud Yagyi Yagyabhrug Yagyasadhanah,51,,,
,297,Yagyanantakrud Yagyaguhyam Annam Annada Eva Cha,47,,,
,298,Atmayonih Svayamjato Vaikhanah Samagayanah,42,,,
,299,Devaki-Nandanah Srashtha Kshitishah Papanashanah,48,,,
,300,Shankhabrun -Nandaki Chakri Sharangadhnva Gadadharah,52,,,
,301,Rathanga Panirakshobhyah Sarva-Praharanayudhah,46,,,
,302,Sree Sarva-Praha-Rana-Yudha Om Naman Ithi,41,,,
,303,Vanamali Gadi Sharangi Shankhi Chakri Cha Nandaki,49,,,
,304,Shriman Narayano Vishnur-Vasudevo-Abhirakshatu (repeat these 2 times),69,,,
,305,Iteedam Keerta-Neeyasya Kesha-Vasya Maha-Tmanah |,49,,,
,306,Namnam sahasram divya-nam ashe-shena prakeer-titam,50,,,
,307,Ya Edam Shrunuyat Nityam Yaschhapi Parikeertayet,48,,,
,308,Nashubham-Prapnuy- at-Kinchit So Mutreha-Cha-Manavah,52,,,
,309,Vedan-Tago Bramhana-Syat Kshatriyo Vijayee Bavet,48,,,
,310,Vaisyo Dhana-Samru-Ddhasyat Shhoodra Sukha Mavap-Nuyat,54,,,
,311,Dharmarthee Prapnu-Yatdharmam Artharthee Chartha Mapnuyat,57,,,
,312,Kamana-Vapnuyat-Kamee Prajarthee Chapnu-Yat-Prajam,50,,,
,313,Bhakt-Imanya Sadotthaya Shuchi-Stadgata Manasah,47,,,
,314,Sahasram Vasu-Devasya Namna Metat Prakee-Rtayet,47,,,
,315,Yashah Prapnoti Vipulam Ynati Praadhanya Meva-Cha,49,,,
,316,Achalam shriya mapnothi shreyah prapnotya-nuttamam,50,,,
,317,Na Bhayam Kvachi Dapnoti Veeryam Tejachha Vindati,49,,,
,318,Bhava Tyarogo Dhyu-Timan Bala-Roopa Gunan-Vitah,47,,,
,319,Rogarto Muchyate Rogat Baddho Muchyeta Bandhanat,48,,,
,320,Bhaya Nmuchyeta Bheetastu Muchye Tapanna Apadha,47,,,
,321,Durganya-Titara Tyashu Purushah Purusho-Ttamam,46,,,
,322,Stuva Nnama-Saha-Srena Nityam Bhakti Saman-Vitah,48,,,
,323,Vasu-Deva-Shrayo Marthyo Vasu-Deva Para-Yanah,45,,,
